Session Date,Instrument,Timeframe,Asia High Swept,Asia Low Swept,Asia Range,London Direction,London High Swept,London Low Swept,London Manipulation,NY AM Reaction,NY Direction,Kill Zone,Pattern Tag,Setup Appeared,Entry Type,Setup Direction,Potential RR,Setup Quality (1-5),Target Type,HTF Bias Aligned,Confluence Score,News Day,Day of Week,Setup Notes
2024-01-02,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,FVG,Long,3.2,4,Opposing Liquidity Pool,Yes,4,None,Tuesday,Clean FVG right at NY open after London swept Asia low. Textbook.
2024-01-03,NQ,5m,Yes,No,Normal,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,NY AM,Asia High + London High Swept,Yes,OB,Short,2.8,4,Previous High/Low,Yes,4,None,Wednesday,OB respected immediately after open. HTF aligned short.
2024-01-04,NQ,5m,No,Yes,Tight,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,OB,Long,4.1,5,Opposing Liquidity Pool,Yes,5,None,Thursday,Perfect confluence. OB + FVG overlap. 5/5 setup.
2024-01-05,NQ,5m,No,No,Normal,Ranging,No,Not Swept,None,Chop,Bearish,NY AM,No Sweeps,No,,,0,0,,No,2,None,Friday,No sweep no setup. Market choppy all session.
2024-01-08,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,London Open,Asia Low + London Low Swept,Yes,Breaker,Long,2.0,3,FVG Fill,Yes,3,None,Monday,Setup appeared at London open. Breaker respected but not the cleanest.
2024-01-09,ES,5m,Yes,No,Wide,Bullish,Yes,Not Swept,Judas Swing High,Reversal,Bearish,NY AM,Asia High + London High Swept,Yes,FVG,Short,3.8,5,Opposing Liquidity Pool,Yes,5,None,Tuesday,"Wide Asia range, perfect Judas. Best setup of the week on ES."
2024-01-10,NQ,5m,No,Yes,Normal,Bearish,No,Before NY,Judas Swing Low,Reversal,Bullish,NY AM,Asia Low + London Low Swept,Yes,FVG,Long,2.5,4,FVG Fill,Yes,4,None,Wednesday,Clean. Entry off FVG after double sweep confirmation.
2024-01-11,ES,5m,No,No,Tight,Ranging,No,Not Swept,None,Chop,Bearish,NY AM,No Sweeps,No,,,0,0,,No,1,None,Thursday,"Tight Asia, no London direction. No setup. As expected."
2024-01-12,NQ,5m,Yes,No,Normal,Bullish,Yes,Not Swept,Judas Swing High,Continuation,Bearish,NY AM,Asia High + London High Swept,Yes,OB,Short,2.2,4,Previous High/Low,Yes,4,None,Friday,OB on bearish continuation. Not reversal but still valid structure.
2024-01-15,NQ,5m,No,No,Normal,Bullish,No,Not Swept,None,Continuation,Bullish,NY AM,London Low Only,Yes,FVG,Long,1.9,3,FVG Fill,Yes,3,None,Monday,London didn't sweep Asia. FVG appeared. Weaker setup overall.
